Métrica,Valor
Accuracy,0.9994460369660412
Precision (Fraude),0.99889330007378
Recall (Sensibilidad),1.0
Specificity,0.9988920739320823
F1-Score,0.9994463436711809
AUC-ROC,0.9999799203672424
AUC-PR,0.9999776635989213
